"Y","state","new","closed","net"
1800,"NY",9,1,8
1801,"NY",4,0,4
1802,"NY",14,1,13
1803,"NY",9,1,8
1804,"NY",14,0,14
1805,"NY",4,1,3
1806,"NY",14,0,14
1807,"NY",17,3,14
1808,"NY",11,5,6
1809,"NY",10,3,7
1810,"NY",12,8,4
1811,"NY",25,2,23
1812,"NY",25,3,22
1813,"NY",21,6,15
1814,"NY",15,4,11
1815,"NY",26,3,23
1816,"NY",28,4,24
1817,"NY",23,11,12
1818,"NY",27,10,17
1819,"NY",29,9,20
1820,"NY",31,10,21
1821,"NY",40,12,28
1822,"NY",48,12,36
1823,"NY",43,11,32
1824,"NY",59,18,41
1825,"NY",71,17,54
1826,"NY",112,22,90
1827,"NY",72,18,54
1828,"NY",124,32,92
1829,"NY",84,36,48
1830,"NY",65,34,31
1831,"NY",49,13,36
1832,"NY",84,29,55
1833,"NY",90,22,68
1834,"NY",50,34,16
1835,"NY",29,22,7
1836,"NY",31,23,8
1837,"NY",44,17,27
1838,"NY",32,18,14
1839,"NY",44,18,26
1840,"NY",41,17,24
1841,"NY",21,18,3
1842,"NY",23,27,-4
1843,"NY",25,14,11
1844,"NY",35,15,20
1845,"NY",14,11,3
1846,"NY",34,21,13
1847,"NY",37,15,22
1848,"NY",37,24,13
1849,"CA",3,0,3
1849,"NY",102,31,71
1850,"CA",6,1,5
1850,"NY",131,23,108
1851,"CA",38,5,33
1851,"NY",103,23,80
1852,"CA",28,6,22
1852,"NY",81,32,49
1853,"CA",23,13,10
1853,"NY",52,33,19
1854,"CA",39,6,33
1854,"NY",76,38,38
1855,"CA",43,9,34
1855,"NY",47,27,20
1856,"CA",30,12,18
1856,"NY",40,36,4
1857,"CA",38,12,26
1857,"NY",30,35,-5
1858,"CA",47,21,26
1858,"CO",1,0,1
1858,"NY",29,11,18
1859,"CA",19,7,12
1859,"CO",4,2,2
1859,"NY",16,35,-19
1860,"CA",23,20,3
1860,"CO",15,3,12
1860,"NY",19,25,-6
1861,"CA",33,11,22
1861,"CO",13,2,11
1861,"NY",23,17,6
1862,"CA",16,22,-6
1862,"CO",19,3,16
1862,"NY",46,15,31
1863,"CA",19,13,6
1863,"CO",14,8,6
1863,"NY",17,33,-16
1864,"CA",24,22,2
1864,"CO",5,3,2
1864,"NY",22,19,3
1865,"CA",19,9,10
1865,"CO",8,7,1
1865,"NY",21,25,-4
1866,"CA",25,20,5
1866,"CO",12,5,7
1866,"NY",25,26,-1
1867,"CA",21,9,12
1867,"CO",6,7,-1
1867,"NY",26,21,5
1868,"CA",24,19,5
1868,"CO",9,3,6
1868,"NY",33,20,13
1869,"CA",33,15,18
1869,"CO",17,8,9
1869,"NY",24,16,8
1870,"CA",57,15,42
1870,"CO",11,6,5
1870,"NY",43,31,12
1871,"CA",45,29,16
1871,"CO",19,9,10
1871,"NY",52,19,33
1872,"CA",28,17,11
1872,"CO",24,9,15
1872,"NY",52,28,24
1873,"CA",43,13,30
1873,"CO",22,12,10
1873,"NY",43,24,19
1874,"CA",63,18,45
1874,"CO",27,11,16
1874,"NY",39,22,17
1875,"CA",44,37,7
1875,"CO",22,11,11
1875,"NY",33,32,1
1876,"CA",39,33,6
1876,"CO",27,11,16
1876,"NY",31,20,11
1877,"CA",30,23,7
1877,"CO",30,14,16
1877,"NY",15,13,2
1878,"CA",50,23,27
1878,"CO",39,12,27
1878,"NY",30,7,23
1879,"CA",50,20,30
1879,"CO",62,24,38
1879,"NY",51,21,30
1880,"CA",59,23,36
1880,"CO",70,29,41
1880,"NY",44,25,19
1881,"CA",66,41,25
1881,"CO",68,44,24
1881,"NY",49,20,29
1882,"CA",58,29,29
1882,"CO",73,51,22
1882,"NY",72,29,43
1883,"CA",48,38,10
1883,"CO",66,37,29
1883,"NY",43,20,23
1884,"CA",36,21,15
1884,"CO",45,38,7
1884,"NY",46,15,31
1885,"CA",29,13,16
1885,"CO",20,38,-18
1885,"NY",22,6,16
1886,"CA",57,34,23
1886,"CO",22,33,-11
1886,"NY",68,28,40
1887,"CA",70,37,33
1887,"CO",48,25,23
1887,"NY",38,15,23
1888,"CA",138,52,86
1888,"CO",69,31,38
1888,"NY",51,20,31
1889,"CA",89,26,63
1889,"CO",64,13,51
1889,"NY",63,17,46
1890,"CA",57,41,16
1890,"CO",65,39,26
1890,"NY",86,21,65
1891,"CA",58,40,18
1891,"CO",37,27,10
1891,"NY",93,44,49
1892,"CA",68,32,36
1892,"CO",58,30,28
1892,"NY",86,40,46
1893,"CA",63,42,21
1893,"CO",9,31,-22
1893,"NY",47,28,19
1894,"CA",65,39,26
1894,"CO",41,52,-11
1894,"NY",33,34,-1
1895,"CA",67,57,10
1895,"CO",59,42,17
1895,"NY",32,43,-11
1896,"CA",61,26,35
1896,"CO",43,33,10
1896,"NY",34,38,-4
1897,"CA",45,24,21
1897,"CO",15,7,8
1897,"NY",57,11,46
1898,"CA",53,32,21
1898,"CO",34,24,10
1898,"NY",53,17,36
1899,"CA",41,39,2
1899,"CO",30,33,-3
1899,"NY",40,43,-3
1900,"CA",50,65,-15
1900,"CO",40,32,8
1900,"NY",32,74,-42
1901,"CA",40,46,-6
1901,"CO",33,35,-2
1901,"NY",28,158,-130
1902,"CA",53,65,-12
1902,"CO",24,26,-2
1902,"NY",28,202,-174
1903,"CA",34,49,-15
1903,"CO",24,34,-10
1903,"NY",10,229,-219
1904,"CA",41,35,6
1904,"CO",28,23,5
1904,"NY",15,146,-131
1905,"CA",24,40,-16
1905,"CO",20,32,-12
1905,"NY",9,113,-104
1906,"CA",38,39,-1
1906,"CO",24,18,6
1906,"NY",18,95,-77
1907,"CA",44,60,-16
1907,"CO",35,35,0
1907,"NY",9,98,-89
1908,"CA",45,40,5
1908,"CO",35,29,6
1908,"NY",13,44,-31
1909,"CA",47,40,7
1909,"CO",27,22,5
1909,"NY",6,63,-57
1910,"CA",38,53,-15
1910,"CO",47,23,24
1910,"NY",17,60,-43
1911,"CA",32,53,-21
1911,"CO",38,28,10
1911,"NY",6,53,-47
1912,"CA",49,54,-5
1912,"CO",24,42,-18
1912,"NY",9,50,-41
1913,"CA",34,61,-27
1913,"CO",24,28,-4
1913,"NY",5,39,-34
1914,"CA",32,67,-35
1914,"CO",23,24,-1
1914,"NY",7,55,-48
1915,"CA",36,58,-22
1915,"CO",39,22,17
1915,"NY",7,60,-53
1916,"CA",22,34,-12
1916,"CO",38,31,7
1916,"NY",2,20,-18
1917,"CA",28,29,-1
1917,"CO",28,39,-11
1917,"NY",1,56,-55
1918,"CA",18,65,-47
1918,"CO",13,57,-44
1918,"NY",2,54,-52
1919,"CA",7,32,-25
1919,"CO",18,27,-9
1919,"NY",3,42,-39
1920,"CA",11,40,-29
1920,"CO",19,40,-21
1920,"NY",3,35,-32
1921,"CA",13,18,-5
1921,"CO",9,30,-21
1921,"NY",5,17,-12
1922,"CA",17,30,-13
1922,"CO",6,20,-14
1922,"NY",3,24,-21
1923,"CA",9,30,-21
1923,"CO",9,19,-10
1923,"NY",0,26,-26
1924,"CA",21,27,-6
1924,"CO",8,18,-10
1924,"NY",4,20,-16
1925,"CA",20,31,-11
1925,"CO",3,23,-20
1925,"NY",1,16,-15
1926,"CA",16,29,-13
1926,"CO",7,16,-9
1926,"NY",2,15,-13
1927,"CA",15,31,-16
1927,"CO",6,13,-7
1927,"NY",1,12,-11
1928,"CA",10,26,-16
1928,"CO",4,9,-5
1928,"NY",1,17,-16
1929,"CA",13,14,-1
1929,"CO",6,22,-16
1929,"NY",0,20,-20
1930,"CA",9,22,-13
1930,"CO",1,17,-16
1930,"NY",1,16,-15
1931,"CA",3,18,-15
1931,"CO",0,12,-12
1931,"NY",1,10,-9
1932,"CA",4,19,-15
1932,"CO",0,10,-10
1932,"NY",0,19,-19
1933,"CA",6,31,-25
1933,"CO",2,16,-14
1933,"NY",2,31,-29
1934,"CA",9,21,-12
1934,"CO",0,10,-10
1934,"NY",1,50,-49
1935,"CA",8,40,-32
1935,"CO",1,15,-14
1935,"NY",3,40,-37
1936,"CA",4,16,-12
1936,"CO",2,10,-8
1936,"NY",2,12,-10
1937,"CA",1,19,-18
1937,"CO",3,17,-14
1937,"NY",0,10,-10
1938,"CA",5,16,-11
1938,"CO",2,11,-9
1938,"NY",1,14,-13
1939,"CA",8,6,2
1939,"CO",2,11,-9
1939,"NY",0,7,-7
1940,"CA",10,21,-11
1940,"CO",0,8,-8
1940,"NY",1,19,-18
1941,"CA",2,19,-17
1941,"CO",0,9,-9
1941,"NY",1,11,-10
1942,"CA",3,29,-26
1942,"CO",1,22,-21
1942,"NY",0,18,-18
1943,"CA",0,27,-27
1943,"CO",0,14,-14
1943,"NY",0,13,-13
1944,"CA",3,16,-13
1944,"CO",0,8,-8
1944,"NY",1,9,-8
1945,"CA",3,11,-8
1945,"NY",0,9,-9
1946,"CA",1,4,-3
1946,"CO",1,6,-5
1946,"NY",0,6,-6
1947,"CA",5,6,-1
1947,"CO",0,5,-5
1947,"NY",1,9,-8
1948,"CA",4,7,-3
1948,"CO",0,8,-8
1948,"NY",1,6,-5
1949,"CA",5,6,-1
1949,"CO",1,7,-6
1949,"NY",0,6,-6
1950,"CA",0,8,-8
1950,"CO",3,6,-3
1950,"NY",0,5,-5
